Date,Industrial Production (Mom %), Capacity Utilization Index Mom (%), Nonfarm Payrolls Index Mom (%), Nonfarm Payrolls Index Mom (%), Advance Retail Sales Index Mom (%),Manufacturers New Orders Index Mom (%),Real GDP QoQ (%),Real Personal Income MoM (%)
2009-12-01,0.34,0.34,-0.19,9.9,1.54,0.42,1.08,0.43
2010-01-01,1.08,1.08,-0.0,9.8,2.12,0.11,0.48,0.43
2010-02-01,0.35,0.35,-0.07,9.8,1.38,0.14,0.48,0.0
2010-03-01,0.7,0.7,0.12,9.9,4.68,2.18,0.48,0.37
2010-04-01,0.36,0.36,0.2,9.9,-2.7,0.83,0.97,0.84
2010-05-01,1.37,1.37,0.4,9.6,4.33,-0.86,0.97,0.79
2010-06-01,0.22,0.22,-0.1,9.4,0.25,-0.1,0.97,0.1
2010-07-01,0.38,0.38,-0.07,9.4,-1.87,0.32,0.77,0.22
2010-08-01,0.37,0.37,0.0,9.5,1.81,0.45,0.77,0.37
2010-09-01,0.28,0.28,-0.06,9.5,1.57,0.86,0.77,0.06
2010-10-01,-0.27,-0.27,0.21,9.4,-3.4,1.15,0.53,0.08
2010-11-01,0.07,0.07,0.1,9.8,5.9,0.91,0.53,0.13
2010-12-01,1.0,1.0,0.06,9.3,1.24,0.7,0.53,0.62
2011-01-01,-0.22,-0.22,0.01,9.1,-0.76,0.67,-0.24,1.31
2011-02-01,-0.41,-0.41,0.17,9.0,-1.43,0.85,-0.24,0.29
2011-03-01,1.04,1.04,0.17,9.0,3.44,0.9,-0.24,-0.23
2011-04-01,-0.33,-0.33,0.24,9.1,-1.73,0.55,0.68,-0.16
2011-05-01,0.12,0.12,0.08,9.0,2.14,-0.08,0.68,-0.1
2011-06-01,0.3,0.3,0.17,9.1,-0.18,0.83,0.68,0.45
2011-07-01,0.47,0.47,0.05,9.0,1.16,-0.04,-0.02,0.43
2011-08-01,0.64,0.64,0.1,9.0,-0.27,0.11,-0.02,-0.05
2011-09-01,-0.08,-0.08,0.17,9.0,0.79,1.11,-0.02,-0.13
2011-10-01,0.7,0.7,0.16,8.8,2.0,0.57,1.12,0.03
2011-11-01,-0.01,-0.01,0.1,8.6,-0.78,0.32,1.12,-0.11
2011-12-01,0.53,0.53,0.15,8.5,2.9,0.15,1.12,0.9
2012-01-01,0.6,0.6,0.27,8.3,-1.55,0.92,0.84,0.27
2012-02-01,0.32,0.32,0.2,8.3,1.11,1.23,0.84,0.51
